name,city,address,monthly_rent,bedrooms,senior_type,score,phone,website,review_score,review_count,review_source,lat,lon,km_to_405_520,km_to_redmond_addr,km_to_midpoint,notes
Solista Bellevue (Cogir),Bellevue (Factoria),"13350 SE 26th St, Bellevue, WA 98005",1750-3189+,"studio,1BR,2BR",senior,71.1,425-area,https://cogirusa.com/communities/solista-bellevue/,4.5,28,ApartmentRatings,47.588179,-122.163892,4.85,8.23,6.09,"Independent living, monthly fee includes breakfast/amenities. Factoria/Eastgate area."
The Gardens at Town Square (Era Living),Bellevue,"933 111th Ave NE, Bellevue, WA 98004",4335+,"studio,1BR,2BR",senior,61.1,425-429-7380,https://www.eraliving.com/community/the-gardens-at-town-square/,8.7,27,A Place for Mom,47.618695,-122.192434,1.18,6.77,3.89,"CCRC downtown Bellevue, 167 apts. IL + AL + memory care. Full amenities bundled."
Redmond Heights Senior Living,Redmond,"7950 Willows Rd NE, Redmond, WA 98052",unknown,"studio,1BR,2BR",senior,59.6,425-885-4157,https://redmondheightsseniorliving.com/,4.9,unknown,aggregate,47.675465,-122.135904,6.47,2.38,3.91,IL + AL + memory care. Month-to-month. Some reviews note maintenance issues. Bundled services.
MorningStar of Kirkland,Kirkland,"11729 NE 118th St, Kirkland, WA 98034",2295-3750,"studio,1BR",55+,58.1,425-437-3662,https://morningstarkirkland.com/,4.8,11,A Place for Mom,47.705943,-122.185567,8.58,7.3,7.41,"152-unit 55+ IL, Totem Lake. Chef dining, pool, fitness bundled. Full kitchens + W/D."
Evergreen Court (Transforming Age),Bellevue,"900 124th Ave NE, Bellevue, WA 98005",unknown,"studio,1BR,2BR",senior,56.6,425-area,https://transformingage.org/community/evergreencourt/,unknown,12,A Place for Mom,47.618308,-122.174199,1.54,5.79,3.08,"IL + assisted living. On-site pool, social spaces."
Merrill Gardens at Kirkland,Kirkland,"14 Main St S, Kirkland, WA 98033",2595-3500+,"studio,1BR,2BR",senior,55.5,425-828-2570,https://www.merrillgardens.com/senior-living/wa/kirkland/merrill-gardens-at-kirkland/,4.5,30,Google,47.676113,-122.20492,5.42,6.62,5.3,"115 units, IL (also AL). Concierge, transport, housekeeping, meals. Walkable downtown Kirkland."
Fairwinds - Redmond (Leisure Care),Redmond,"9988 Avondale Rd NE, Redmond, WA 98052",3450-5260+,"studio,1BR,2BR",62+,55.3,425-558-4700,https://www.leisurecare.com/our-communities/fairwinds-redmond/,9.6,25,A Place for Mom,47.688716,-122.09118,9.83,4.25,6.99,"IL + AL. Income-qualified program for 62+ under ~$55k. Pool, dining, activities bundled."
Emerald Heights,Redmond,"10901 176th Cir NE, Redmond, WA 98052",4284+ (plus entry fee),"1BR,2BR",62+,54.0,425-584-1771,https://emeraldheights.com/independent-living/,4.7,17,Caring.com,47.698046,-122.106925,9.79,4.75,7.12,Nonprofit Life Care CCRC. Large entrance fees ~$330k-$500k. Not simple rent.
Madison House,Kirkland,"12215 NE 128th St, Kirkland, WA 98034",~7842 (incl services),"studio,1BR,2BR",senior,42.5,425-821-8210,https://koelschseniorcommunities.com/senior-living/wa/kirkland/independent-assisted-living/madison-house/,4.6,33,A Place for Mom,47.713621,-122.17784,9.46,7.63,8.09,Koelsch IL + AL. Active social calendar. Pricing varies with care level.
Parkshore Juanita Bay,Kirkland,"11853 97th Ave NE, Kirkland, WA 98034",varies (service fee),"studio,1BR,2BR",62+,39.4,800-755-1458,https://parkshorejuanitabay.org/,4.4,unknown,A Place for Mom,47.707062,-122.212764,8.9,8.85,8.39,New (2025-26) 62+ IL on Lake WA. Requires cognitive test + physical. CCRC-style bundled.
Aljoya Mercer Island (Era Living),Mercer Island,"2430 76th Ave SE, Mercer Island, WA 98040",unknown,"studio,1BR,2BR,3BR",senior,29.3,206-area,https://www.eraliving.com/community/aljoya-mercer-island/,unknown,9,A Place for Mom,47.588241,-122.236611,5.82,11.48,8.62,"CCRC, 114 residences. ~10 min from Bellevue. Reference only - not in target city."
Fairwinds - Brittany Park (Leisure Care),Woodinville,"17143 133rd Ave NE, Woodinville, WA 98072",3575+,"studio,1BR,2BR",senior,28.3,425-402-7100,https://www.leisurecare.com/our-communities/fairwinds-brittany-park/,4.7,unknown,Google,47.751767,-122.16241,13.8,11.03,12.15,"IL + AL (IL only qualifies). Meals, housekeeping, activities bundled. ~25 yr old community."
The Creekside (MBK Senior Living),Woodinville,"18200 Woodinville-Snohomish Rd NE, Woodinville, WA 98072",3500+,"studio,1BR,2BR",senior,25.1,425-483-7953,https://www.mbkseniorliving.com/senior-living/wa/woodinville/creekside/,4.9,34,Google,47.768003,-122.154321,15.68,12.65,13.94,"IL bundles dining, housekeeping, activities. Pet-friendly. Downtown Woodinville."
Bellewood (LifeMinded),Issaquah,"3710 Providence Point Dr SE, Issaquah, WA 98029",3500-4500,"studio,1BR,2BR",62+,24.6,425-391-2880,https://www.bellewood.com/,5.0,8,Caring.com,47.573815,-122.036756,12.86,11.17,11.68,IL for 62+ on Issaquah plateau. Meals/activities/housekeeping included. Shuttle.
Revel Issaquah,Issaquah,"2450 Newport Way NW, Issaquah, WA 98027",3250-4970,"studio,1BR,2BR",55+,22.5,425-295-7693,https://revelcommunities.com/communities/issaquah/,4.9,88,A Place for Mom,47.551993,-122.074875,12.02,12.13,11.71,"Market-rate 55+ IL, built 2020, 114 units. Dining credits, housekeeping, concierge bundled."
Providence Point,Issaquah,"Providence Point Dr SE, Issaquah, WA 98029",unknown,"1BR,2BR",55+,18.4,425-837-9500,https://www.providencepointliving.com/home/,unknown,unknown,unknown,47.567394,-122.038734,13.09,11.68,12.06,"Large 55+ active-living, ~161 acres. Primarily OWN/HOA condos not rentals. Confirm rental availability."
Timber Ridge at Talus,Issaquah,"100 Timber Ridge Way NW, Issaquah, WA 98027",entry fee + monthly,"studio,1BR,2BR",senior,17.7,425-427-5200,https://timberridgelcs.com/,4.8,26,Medicare,47.531533,-122.066158,14.14,14.49,14.02,"CCRC/LifeCare, IL+AL+memory+SNF. Entrance fee required. Waitlist 30+."
University House Issaquah (Era Living),Issaquah,"22975 SE Black Nugget Rd, Issaquah, WA 98029",4430+,"studio,1BR,2BR,3BR",senior,17.1,425-654-1485,https://www.eraliving.com/community/university-house-issaquah/,4.2,53,Caring.com,47.54721,-122.033067,14.72,13.84,13.98,"184 residences, IL + AL. Meals, programming, amenities bundled."
